max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
0 : add(add(8, -2), mul(45, 2))
0 : mul(add(-11, 15), add(41, 27))
0 : mul(mul(7, 13), add(37, -2))
0 : add(mul(-9, -3), mul(-27, 11))
0 : add(add(13, -9), add(-27, -11))
0 : add(add(k, 45), mul(-27, 7))
0 : mul(add(25, 21), mul(41, 13))
1 : add(add(25, -9), mul(33, 5))
0 : mul(mul(7, 5), add(-24, 21))
0 : add(add(41, -9), add(-2, 45))
1 : add(add(21, 13), add(-15, -2))
31 : add(mul(k, mul(8, 7)), mul(add(add(7, 45), 1), 25))
24 : add(add(k, 2), add(-15, 10))
18 : add(mul(21, 7), add(k, 7))
21 : add(add(6, k), add(3, 21))
13 : add(add(k, -15), mul(31, 45))
25 : add(add(k, 21), add(-27, 4))
1 : add(add(10, 13), mul(k, -11))
21 : add(mul(7, k), add(7, 17))
0 : add(add(33, -9), mul(k, 27))
20 : add(add(k, 26), add(33, -9))
25 : add(add(-9, 7), add(k, 5))
20 : add(add(13, 21), add(k, 21))
18 : add(mul(21, 7), add(k, 19))
24 : add(add(k, 15), add(-24, 2))
20 : add(add(k, 7), add(33, 27))
19 : add(mul(2, -9), add(k, -11))
24 : add(add(-27, 5), mul(k, 5))
0 : add(add(-9, 27), mul(9, 33))
22 : add(add(k, 41), add(-27, 7))
25 : add(add(-27, -9), add(k, 41))
21 : add(add(k, 25), add(-9, 17))
21 : add(add(49, -9), add(k, -2))
18 : add(add(k, -27), add(21, -27))
22 : add(add(3, -24), add(k, 2))
0 : add(add(33, k), mul(k, 17))
19 : add(mul(11, k), add(15, -9))
19 : add(mul(19, 9), add(k, -27))
15 : add(mul(41, 21), mul(k, 13))
2 : add(add(8, 41), mul(-9, k))
1 : add(add(27, -27), mul(k, 31))
0 : add(mul(45, -27), add(k, k))
0 : mul(add(41, -2), mul(13, k))
0 : add(mul(4, -27), add(k, 7))
1 : add(add(k, 3), add(k, -27))
23 : add(add(k, -27), add(41, -27))
20 : add(add(13, add(21, k)), add(45, -11))
15 : add(add(21, -15), mul(k, 41))
21 : add(add(k, 3), add(13, 21))
2 : add(add(41, k), mul(k, -9))
22 : add(add(21, k), add(6, 13))
22 : add(add(41, -11), add(k, -1))
24 : add(add(5, k), add(-27, 19))
20 : add(add(5, 33), add(7, k))
20 : add(mul(4, 5), add(41, k))
20 : add(add(23, k), add(15, 19))
17 : add(mul(k, 11), mul(13, 41))
27 : add(mul(3, k), add(-27, 7))
19 : add(add(21, 41), add(k, 25))
23 : add(add(1, k), add(-24, 41))
1 : add(mul(7, 41), add(-27, -27))
21 : add(add(15, k), add(21, 23))
19 : add(mul(7, 5), add(k, 45))
9 : add(add(7, k), mul(-2, 41))
19 : add(add(k, 45), add(-2, 45))
19 : add(mul(7, k), add(17, 41))
14 : add(add(10, k), mul(45, 41))
19 : add(add(33, 41), add(-1, k))
12 : add(add(4, -27), mul(41, k))
1 : add(add(-9, 41), mul(-15, 2))
1 : add(mul(37, 7), mul(-2, -27))
23 : add(add(k, 9), mul(-1, -9))
1 : add(add(5, 2), add(41, 25))
24 : add(add(0, k), add(13, 2))
25 : add(add(2, -27), add(k, 23))
0 : add(add(49, -15), mul(-11, -11))
14 : add(mul(41, 41), mul(k, -27))
0 : add(mul(2, 21), mul(45, -11))
0 : add(mul(-27, 3), add(7, -27))
20 : add(add(-9, 41), add(k, 19))
0 : add(add(-9, -27), mul(21, 31))
42 : add(mul(10, k), mul(19, 3))
0 : mul(add(13, -9), mul(45, k))
20 : add(mul(13, 7), mul(k, 5))
1 : add(add(41, -27), add(23, -24))
0 : add(add(-27, 41), mul(43, -9))
0 : add(add(45, 41), mul(7, 17))
0 : add(add(7, 8), mul(13, 13))
0 : mul(add(21, 25), mul(41, -2))
24 : add(add(-9, 1), add(k, 21))
16 : add(mul(13, 41), add(k, 7))
0 : add(mul(45, -9), add(49, k))
0 : mul(mul(25, -27), add(5, -27))
0 : add(add(-24, 13), add(41, 9))
37 : add(mul(13, k), add(45, k))
0 : add(add(25, 5), mul(-27, -4))
0 : mul(mul(-15, 43), mul(13, k))
1 : add(add(7, 3), add(8, 23))
0 : add(add(-27, 29), add(31, -27))
0 : add(add(19, 9), mul(21, 13))
15 : add(add(-24, k), mul(-11, -27))
0 : mul(add(-3, 41), add(k, 41))
0 : mul(add(19, 5), add(6, 2))
0 : mul(add(-9, 10), mul(13, 13))
15 : add(add(k, 41), mul(41, 5))
24 : add(add(-2, -24), add(k, 41))
13 : add(mul(k, 41), mul(-3, 33))
24 : add(mul(5, 5), add(k, -9))
20 : add(add(25, 5), add(31, k))
25 : add(mul(2, 5), mul(21, k))
14 : add(mul(k, 41), mul(2, -9))
1 : add(mul(45, 13), add(21, 1))
0 : add(mul(21, -2), add(25, 9))
0 : add(mul(11, 21), mul(17, 11))
0 : add(add(25, 8), mul(k, -27))
21 : add(add(9, k), add(37, 7))
0 : add(add(21, 49), add(41, 4))
0 : add(mul(23, 21), add(17, -3))
0 : add(mul(15, 4), add(17, -2))
0 : add(add(49, 41), mul(21, 25))
0 : mul(add(27, 45), add(19, 10))
1 : add(add(3, 7), add(-2, 15))
0 : add(add(15, -2), mul(13, -9))
0 : add(mul(-9, 41), add(9, 41))
0 : add(add(5, k), mul(45, -11))
1 : add(add(41, 10), mul(2, 25))
1 : add(mul(21, 33), add(13, 37))
0 : add(add(19, 41), mul(k, 10))
1 : add(add(-11, 13), mul(-11, k))
0 : mul(add(6, k), mul(2, 25))
