max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 500, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
33 : add(mul(11, 19), add(k, k))
40 : add(add(k, k), add(4, 37))
26 : add(add(-2, 9), mul(k, k))
8 : add(add(-4, 9), mul(k, k))
25 : add(add(11, -15), add(k, 9))
13 : add(add(-3, k), mul(add(19, 21), k))
30 : add(mul(k, k), add(5, k))
10 : add(mul(k, k), add(-15, -15))
39 : add(add(k, -10), add(-15, k))
21 : add(add(37, k), add(5, -15))
27 : add(add(k, k), add(25, k))
50 : add(mul(11, k), add(k, 7))
1 : add(add(k, k), add(k, -18))
24 : add(mul(9, k), add(4, 37))
40 : add(add(k, k), add(-2, 21))
1 : add(add(3, k), mul(5, k))
25 : add(add(-15, k), add(9, 7))
40 : add(add(k, k), add(-2, 21))
30 : add(mul(41, 9), add(k, k))
22 : add(add(-3, 9), add(k, 15))
22 : add(add(3, k), mul(19, 2))
19 : add(mul(k, k), add(4, 9))
32 : add(mul(k, k), add(7, k))
24 : add(add(k, -3), mul(k, k))
13 : add(mul(k, k), add(9, k))
42 : add(add(k, k), add(0, 9))
40 : add(add(-3, k), add(add(19, 21), k))
0 : add(add(-3, 21), mul(k, 9))
57 : add(add(5, k), mul(k, 5))
23 : add(add(k, 9), mul(5, 2))
26 : add(add(5, 2), mul(k, k))
1 : add(mul(5, -37), mul(k, 5))
23 : add(mul(3, 3), mul(5, k))
24 : add(add(-3, k), mul(k, k))
30 : add(mul(k, k), add(5, k))
21 : add(add(-37, 21), mul(k, 7))
6 : add(add(5, k), mul(mul(k, 21), k))
24 : add(add(-3, 5), add(k, 15))
30 : add(add(15, 23), mul(k, 15))
86 : add(add(41, k), mul(k, k))
41 : add(add(k, 5), add(k, -18))
57 : add(add(5, k), mul(k, 5))
0 : add(add(9, k), mul(k, 5))
48 : add(add(k, 11), mul(k, k))
25 : add(mul(9, k), add(7, 7))
41 : add(add(9, k), add(k, -18))
10 : add(add(-37, 7), mul(k, k))
41 : add(add(5, k), add(k, -18))
25 : add(mul(9, k), add(4, 7))
