max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.5, 

Maximum Fitness: 86
Fitness score : Individual 
1 : add(add(k, 13), add(-21, k))
1 : add(mul(k, -21), add(3, 67))
0 : mul(add(12, -9), add(21, 5))
4 : add(mul(-37, 7), mul(k, k))
0 : add(mul(-3, k), mul(0, 21))
17 : add(mul(25, k), mul(18, 21))
39 : add(add(k, -23), mul(13, k))
21 : add(add(13, 0), add(k, 18))
20 : add(add(k, 41), add(13, 7))
22 : add(add(k, 13), add(23, -8))
17 : add(add(2, 5), mul(19, k))
18 : add(mul(21, 7), add(13, k))
20 : add(add(-21, k), mul(7, 13))
12 : add(mul(41, k), add(-21, 53))
18 : add(add(k, 5), mul(23, 7))
3 : add(mul(k, -21), add(67, k))
13 : add(mul(k, add(23, 13)), add(11, k))
12 : add(mul(-21, -3), mul(53, k))
15 : add(mul(31, k), mul(23, 41))
10 : add(mul(45, 41), mul(k, k))
22 : add(add(k, 21), add(17, 2))
16 : add(mul(17, k), add(-23, 53))
0 : add(add(k, -21), mul(-3, 35))
22 : add(add(37, 3), mul(k, 7))
86 : add(add(41, k), mul(k, k))
25 : add(add(21, k), add(-23, 13))
86 : add(add(k, 41), mul(k, k))
25 : add(add(3, k), add(1, 7))
18 : add(mul(k, 7), add(67, 7))
11 : add(mul(21, 13), mul(k, -8))
18 : add(mul(k, -21), mul(67, 17))
51 : add(add(k, 67), mul(k, k))
24 : add(add(18, k), add(5, -8))
19 : add(add(k, 13), add(53, 21))
30 : add(mul(53, 13), add(k, k))
12 : add(add(18, k), mul(41, 27))
12 : add(mul(67, 67), mul(k, 19))
17 : add(mul(6, 41), add(k, 5))
0 : add(mul(13, 21), add(-21, 2))
0 : mul(add(6, 23), add(25, 23))
0 : add(add(13, 7), mul(-21, k))
20 : add(add(35, 2), add(k, 19))
22 : add(add(k, -23), mul(6, 1))
18 : add(add(19, -21), mul(k, 13))
19 : add(add(k, -21), add(53, 17))
17 : add(add(k, 53), mul(18, 53))
32 : add(mul(15, k), add(13, k))
19 : add(add(-23, -23), add(k, 15))
28 : add(mul(k, 31), add(k, 67))
19 : add(add(12, -27), mul(k, 7))
36 : add(add(k, 41), mul(k, 13))
0 : mul(add(19, 2), add(-21, k))
21 : add(add(27, 3), add(13, k))
0 : add(mul(67, 11), mul(67, k))
21 : add(add(29, k), add(11, -9))
8 : add(mul(k, k), mul(3, 67))
19 : add(add(-10, 19), mul(7, k))
27 : add(mul(k, 21), add(13, 19))
20 : add(add(35, 7), add(3, k))
24 : add(add(13, k), add(17, -23))
21 : add(add(19, 21), add(3, k))
14 : add(add(7, k), mul(7, -9))
30 : add(mul(19, 21), add(k, k))
3 : add(mul(k, -21), add(k, 67))
21 : add(add(13, 13), add(k, 13))
16 : add(mul(31, 11), add(-10, k))
26 : add(add(k, -23), mul(k, k))
